Circuit,Conflicts,Decisions,CPU Time,Result
s1196,5,1089,0.058554,UNKNOWN
s1196,44,14037,0.017107,SATISFIABLE
s1238,22,1662,0.067431,UNKNOWN
s1238,46,10442,0.008343,SATISFIABLE
s13207.1,219,51611,0.479616,UNKNOWN
s13207.1,0,0,0.214144,UNSATISFIABLE
s13207,238,53057,0.458492,UNKNOWN
s13207,0,0,0.18067,UNSATISFIABLE
s1423,15,1696,0.066982,UNKNOWN
s1423,68,20424,0.027626,SATISFIABLE
s1488,10,1449,0.064048,UNKNOWN
s1488,28,7661,0.013728,SATISFIABLE
s1494,10,1434,0.055346,UNKNOWN
s1494,41,8414,0.016314,SATISFIABLE
s15850.1,384,115639,0.62005,UNKNOWN
s15850.1,0,0,2.89941,UNSATISFIABLE
s15850,758,192587,0.713206,UNKNOWN
s15850,0,0,13.6259,UNSATISFIABLE
s208.1,2,210,0.01136,UNKNOWN
s208.1,10,979,0.003619,SATISFIABLE
s27,1,54,0,UNKNOWN
s27,0,122,0.000741,SATISFIABLE
s298,3,291,0.007563,UNKNOWN
s298,49,1297,0.002757,SATISFIABLE
s344,0,374,0.019305,UNKNOWN
s344,11,1024,0.003233,SATISFIABLE
s349,0,386,0.019064,UNKNOWN
s349,16,1433,0.000937,SATISFIABLE
s35932,1426,2085205,3.9318,UNKNOWN
s35932,583,6175312,0.547831,SATISFIABLE
s382,2,364,0.018633,UNKNOWN
s382,8,1169,0.002825,SATISFIABLE
s38417,2289,1577921,3.80199,UNKNOWN
s38417,1283,8316520,1.70635,SATISFIABLE
s38584.1,1418,1366624,3.25256,UNKNOWN
s38584.1,0,0,0.16502,UNSATISFIABLE
s38584,2304,1924068,3.92015,UNKNOWN
s38584,0,0,0.347248,UNSATISFIABLE
s386,5,240,0.017492,UNKNOWN
s386,13,1234,0.004332,SATISFIABLE
s400,2,416,0.020494,UNKNOWN
s400,8,2281,0.003598,SATISFIABLE
s420.1,26,748,0.027276,UNKNOWN
s420.1,11,1099,0.127251,SATISFIABLE
s444,0,376,0.019993,UNKNOWN
s444,6,1705,0.003287,SATISFIABLE
s510,21,468,0.021527,UNKNOWN
s510,18,2979,0.009152,SATISFIABLE
s526,4,439,0.015293,UNKNOWN
s526,9,1994,0.004798,SATISFIABLE
s526n,2,435,0.023007,UNKNOWN
s526n,32,1710,0.004979,SATISFIABLE
s5378,129,18115,0.202042,UNKNOWN
s5378,0,0,0.037177,UNSATISFIABLE
s641,3,492,0.028505,UNKNOWN
s641,25,3812,0.00862,SATISFIABLE
s713,0,548,0.017564,UNKNOWN
s713,30,4891,0.005956,SATISFIABLE
s820,4,542,0.028754,UNKNOWN
s820,17,4061,0.009629,SATISFIABLE
s832,23,642,0.037443,UNKNOWN
s832,16,2233,0,SATISFIABLE
s838.1,79,1970,0.082058,UNKNOWN
s838.1,48,10956,95.4879,SATISFIABLE
s9234.1,301,26674,0.300917,UNKNOWN
s9234.1,0,0,0.067187,UNSATISFIABLE
s953,12,1276,0.038309,UNKNOWN
s953,28,6505,0.015171,SATISFIABLE
